Text,Emotion
I feel very perturbed,fear
I feel uneasy about where this relationship is going,fear
I am scared they will leave me,fear
I feel anxious whenever they do not reply my messages,fear
I feel insecure when I am ignored,fear
I feel abandoned and alone,sadness
I feel rejected by someone I care about,sadness
I feel lonely even when people are around me,sadness
I feel emotionally drained,sadness
I feel hurt because they do not listen to me,sadness
I am angry because they lied to me,anger
I feel betrayed and frustrated,anger
I am irritated because nobody respects my boundaries,anger
I feel bitter about what happened,anger
I feel deeply loved and appreciated,love
I care deeply about this person,love
I feel emotionally connected to them,love
I feel grateful and peaceful,happy
I feel hopeful about my future,happy
I feel relieved after speaking honestly,happy
I feel shocked by what they said,surprise
I feel surprised by their reaction,surprise
